영치장소,사용본거지,,,,,,,,영치장소,,,,,
답십리동,답십리동,답십리동>답십리동,,,신설동,용두동,제기동,전농동,답십리동,장안동,청량리동,회기동,휘경동,이문동
답십리동,답십리동,답십리동>답십리동,,신설동,1,0,0,1,1,0,0,0,0,0
답십리동,답십리동,답십리동>답십리동,사,용두동,2,22,1,1,2,1,1,0,0,0
답십리동,답십리동,답십리동>답십리동,용,제기동,0,10,11,1,1,3,11,0,0,0
답십리동,답십리동,답십리동>답십리동,본,전농동,0,18,2,14,5,3,2,0,0,0
답십리동,답십리동,답십리동>답십리동,거,답십리동,0,17,0,4,22,11,0,0,0,0
답십리동,답십리동,답십리동>답십리동,지,장안동,0,18,0,1,7,35,0,0,0,0
답십리동,답십리동,답십리동>답십리동,,청량리동,0,4,1,2,1,0,19,0,0,0
답십리동,답십리동,답십리동>답십리동,,회기동,0,1,1,1,0,0,0,1,1,0
답십리동,답십리동,답십리동>답십리동,,휘경동,0,7,0,1,1,0,0,1,5,0
답십리동,답십리동,답십리동>답십리동,,이문동,0,11,0,1,0,0,1,0,0,9
답십리동,답십리동,답십리동>답십리동,,,,,,,,,,,,
답십리동,답십리동,답십리동>답십리동,,,,,,,,,,,,
답십리동,답십리동,답십리동>답십리동,,,,,,,,,,,,
답십리동,답십리동,답십리동>답십리동,,,,,,,,,,,,
답십리동,답십리동,답십리동>답십리동,,,,,,,,,,,,
답십리동,답십리동,답십리동>답십리동,,,,,,,,,,,,
답십리동,답십리동,답십리동>답십리동,,,,,,,,,,,,
답십리동,답십리동,답십리동>답십리동,,,,,,,,,,,,
답십리동,답십리동,답십리동>답십리동,,,,,,,,,,,,
답십리동,답십리동,답십리동>답십리동,,,,,,,,,,,,
답십리동,답십리동,답십리동>답십리동,,,,,,,,,,,,
답십리동,신설동,신설동>답십리동,,,,,,,,,,,,
답십리동,용두동,용두동>답십리동,,,,,,,,,,,,
답십리동,용두동,용두동>답십리동,,,,,,,,,,,,
답십리동,장안동,장안동>답십리동,,,,,,,,,,,,
답십리동,장안동,장안동>답십리동,,,,,,,,,,,,
답십리동,장안동,장안동>답십리동,,,,,,,,,,,,
답십리동,장안동,장안동>답십리동,,,,,,,,,,,,
답십리동,장안동,장안동>답십리동,,,,,,,,,,,,
답십리동,장안동,장안동>답십리동,,,,,,,,,,,,
답십리동,장안동,장안동>답십리동,,,,,,,,,,,,
답십리동,전농동,전농동>답십리동,,,,,,,,,,,,
답십리동,전농동,전농동>답십리동,,,,,,,,,,,,
답십리동,전농동,전농동>답십리동,,,,,,,,,,,,
답십리동,전농동,전농동>답십리동,,,,,,,,,,,,
답십리동,전농동,전농동>답십리동,,,,,,,,,,,,
답십리동,제기동,제기동>답십리동,,,,,,,,,,,,
답십리동,청량리동,청량리동>답십리동,,,,,,,,,,,,
답십리동,휘경동,휘경동>답십리동,,,,,,,,,,,,
신설동,신설동,신설동>신설동,,,,,,,,,,,,
신설동,용두동,용두동>신설동,,,,,,,,,,,,
신설동,용두동,용두동>신설동,,,,,,,,,,,,
용두동,답십리동,답십리동>용두동,,,,,,,,,,,,
용두동,답십리동,답십리동>용두동,,,,,,,,,,,,
용두동,답십리동,답십리동>용두동,,,,,,,,,,,,
용두동,답십리동,답십리동>용두동,,,,,,,,,,,,
용두동,답십리동,답십리동>용두동,,,,,,,,,,,,
용두동,답십리동,답십리동>용두동,,,,,,,,,,,,
용두동,답십리동,답십리동>용두동,,,,,,,,,,,,
용두동,답십리동,답십리동>용두동,,,,,,,,,,,,
용두동,답십리동,답십리동>용두동,,,,,,,,,,,,
용두동,답십리동,답십리동>용두동,,,,,,,,,,,,
용두동,답십리동,답십리동>용두동,,,,,,,,,,,,
용두동,답십리동,답십리동>용두동,,,,,,,,,,,,
용두동,답십리동,답십리동>용두동,,,,,,,,,,,,
용두동,답십리동,답십리동>용두동,,,,,,,,,,,,
용두동,답십리동,답십리동>용두동,,,,,,,,,,,,
용두동,답십리동,답십리동>용두동,,,,,,,,,,,,
용두동,답십리동,답십리동>용두동,,,,,,,,,,,,
용두동,용두동,용두동>용두동,,,,,,,,,,,,
용두동,용두동,용두동>용두동,,,,,,,,,,,,
용두동,용두동,용두동>용두동,,,,,,,,,,,,
용두동,용두동,용두동>용두동,,,,,,,,,,,,
용두동,용두동,용두동>용두동,,,,,,,,,,,,
용두동,용두동,용두동>용두동,,,,,,,,,,,,
용두동,용두동,용두동>용두동,,,,,,,,,,,,
용두동,용두동,용두동>용두동,,,,,,,,,,,,
용두동,용두동,용두동>용두동,,,,,,,,,,,,
용두동,용두동,용두동>용두동,,,,,,,,,,,,
용두동,용두동,용두동>용두동,,,,,,,,,,,,
용두동,용두동,용두동>용두동,,,,,,,,,,,,
용두동,용두동,용두동>용두동,,,,,,,,,,,,
용두동,용두동,용두동>용두동,,,,,,,,,,,,
용두동,용두동,용두동>용두동,,,,,,,,,,,,
용두동,용두동,용두동>용두동,,,,,,,,,,,,
용두동,용두동,용두동>용두동,,,,,,,,,,,,
용두동,용두동,용두동>용두동,,,,,,,,,,,,
용두동,용두동,용두동>용두동,,,,,,,,,,,,
용두동,용두동,용두동>용두동,,,,,,,,,,,,
용두동,용두동,용두동>용두동,,,,,,,,,,,,
용두동,용두동,용두동>용두동,,,,,,,,,,,,
용두동,이문동,이문동>용두동,,,,,,,,,,,,
용두동,이문동,이문동>용두동,,,,,,,,,,,,
용두동,이문동,이문동>용두동,,,,,,,,,,,,
용두동,이문동,이문동>용두동,,,,,,,,,,,,
용두동,이문동,이문동>용두동,,,,,,,,,,,,
용두동,이문동,이문동>용두동,,,,,,,,,,,,
용두동,이문동,이문동>용두동,,,,,,,,,,,,
용두동,이문동,이문동>용두동,,,,,,,,,,,,
용두동,이문동,이문동>용두동,,,,,,,,,,,,
용두동,이문동,이문동>용두동,,,,,,,,,,,,
용두동,이문동,이문동>용두동,,,,,,,,,,,,
용두동,장안동,장안동>용두동,,,,,,,,,,,,
용두동,장안동,장안동>용두동,,,,,,,,,,,,
용두동,장안동,장안동>용두동,,,,,,,,,,,,
용두동,장안동,장안동>용두동,,,,,,,,,,,,
용두동,장안동,장안동>용두동,,,,,,,,,,,,
용두동,장안동,장안동>용두동,,,,,,,,,,,,
용두동,장안동,장안동>용두동,,,,,,,,,,,,
용두동,장안동,장안동>용두동,,,,,,,,,,,,
용두동,장안동,장안동>용두동,,,,,,,,,,,,
용두동,장안동,장안동>용두동,,,,,,,,,,,,
용두동,장안동,장안동>용두동,,,,,,,,,,,,
용두동,장안동,장안동>용두동,,,,,,,,,,,,
용두동,장안동,장안동>용두동,,,,,,,,,,,,
용두동,장안동,장안동>용두동,,,,,,,,,,,,
용두동,장안동,장안동>용두동,,,,,,,,,,,,
용두동,장안동,장안동>용두동,,,,,,,,,,,,
용두동,장안동,장안동>용두동,,,,,,,,,,,,
용두동,장안동,장안동>용두동,,,,,,,,,,,,
용두동,전농동,전농동>용두동,,,,,,,,,,,,
용두동,전농동,전농동>용두동,,,,,,,,,,,,
용두동,전농동,전농동>용두동,,,,,,,,,,,,
용두동,전농동,전농동>용두동,,,,,,,,,,,,
용두동,전농동,전농동>용두동,,,,,,,,,,,,
용두동,전농동,전농동>용두동,,,,,,,,,,,,
용두동,전농동,전농동>용두동,,,,,,,,,,,,
용두동,전농동,전농동>용두동,,,,,,,,,,,,
용두동,전농동,전농동>용두동,,,,,,,,,,,,
용두동,전농동,전농동>용두동,,,,,,,,,,,,
용두동,전농동,전농동>용두동,,,,,,,,,,,,
용두동,전농동,전농동>용두동,,,,,,,,,,,,
용두동,전농동,전농동>용두동,,,,,,,,,,,,
용두동,전농동,전농동>용두동,,,,,,,,,,,,
용두동,전농동,전농동>용두동,,,,,,,,,,,,
용두동,전농동,전농동>용두동,,,,,,,,,,,,
용두동,전농동,전농동>용두동,,,,,,,,,,,,
용두동,전농동,전농동>용두동,,,,,,,,,,,,
용두동,제기동,제기동>용두동,,,,,,,,,,,,
용두동,제기동,제기동>용두동,,,,,,,,,,,,
용두동,제기동,제기동>용두동,,,,,,,,,,,,
용두동,제기동,제기동>용두동,,,,,,,,,,,,
용두동,제기동,제기동>용두동,,,,,,,,,,,,
용두동,제기동,제기동>용두동,,,,,,,,,,,,
용두동,제기동,제기동>용두동,,,,,,,,,,,,
용두동,제기동,제기동>용두동,,,,,,,,,,,,
용두동,제기동,제기동>용두동,,,,,,,,,,,,
용두동,제기동,제기동>용두동,,,,,,,,,,,,
용두동,청량리동,청량리동>용두동,,,,,,,,,,,,
용두동,청량리동,청량리동>용두동,,,,,,,,,,,,
용두동,청량리동,청량리동>용두동,,,,,,,,,,,,
용두동,청량리동,청량리동>용두동,,,,,,,,,,,,
용두동,회기동,회기동>용두동,,,,,,,,,,,,
용두동,휘경동,휘경동>용두동,,,,,,,,,,,,
용두동,휘경동,휘경동>용두동,,,,,,,,,,,,
용두동,휘경동,휘경동>용두동,,,,,,,,,,,,
용두동,휘경동,휘경동>용두동,,,,,,,,,,,,
용두동,휘경동,휘경동>용두동,,,,,,,,,,,,
용두동,휘경동,휘경동>용두동,,,,,,,,,,,,
용두동,휘경동,휘경동>용두동,,,,,,,,,,,,
이문동,이문동,이문동>이문동,,,,,,,,,,,,
이문동,이문동,이문동>이문동,,,,,,,,,,,,
이문동,이문동,이문동>이문동,,,,,,,,,,,,
이문동,이문동,이문동>이문동,,,,,,,,,,,,
이문동,이문동,이문동>이문동,,,,,,,,,,,,
이문동,이문동,이문동>이문동,,,,,,,,,,,,
이문동,이문동,이문동>이문동,,,,,,,,,,,,
이문동,이문동,이문동>이문동,,,,,,,,,,,,
이문동,이문동,이문동>이문동,,,,,,,,,,,,
장안동,답십리동,답십리동>장안동,,,,,,,,,,,,
장안동,답십리동,답십리동>장안동,,,,,,,,,,,,
장안동,답십리동,답십리동>장안동,,,,,,,,,,,,
장안동,답십리동,답십리동>장안동,,,,,,,,,,,,
장안동,답십리동,답십리동>장안동,,,,,,,,,,,,
장안동,답십리동,답십리동>장안동,,,,,,,,,,,,
장안동,답십리동,답십리동>장안동,,,,,,,,,,,,
장안동,답십리동,답십리동>장안동,,,,,,,,,,,,
장안동,답십리동,답십리동>장안동,,,,,,,,,,,,
장안동,답십리동,답십리동>장안동,,,,,,,,,,,,
장안동,답십리동,답십리동>장안동,,,,,,,,,,,,
장안동,용두동,용두동>장안동,,,,,,,,,,,,
장안동,장안동,장안동>장안동,,,,,,,,,,,,
장안동,장안동,장안동>장안동,,,,,,,,,,,,
장안동,장안동,장안동>장안동,,,,,,,,,,,,
장안동,장안동,장안동>장안동,,,,,,,,,,,,
장안동,장안동,장안동>장안동,,,,,,,,,,,,
장안동,장안동,장안동>장안동,,,,,,,,,,,,
장안동,장안동,장안동>장안동,,,,,,,,,,,,
장안동,장안동,장안동>장안동,,,,,,,,,,,,
장안동,장안동,장안동>장안동,,,,,,,,,,,,
장안동,장안동,장안동>장안동,,,,,,,,,,,,
장안동,장안동,장안동>장안동,,,,,,,,,,,,
장안동,장안동,장안동>장안동,,,,,,,,,,,,
장안동,장안동,장안동>장안동,,,,,,,,,,,,
장안동,장안동,장안동>장안동,,,,,,,,,,,,
장안동,장안동,장안동>장안동,,,,,,,,,,,,
장안동,장안동,장안동>장안동,,,,,,,,,,,,
장안동,장안동,장안동>장안동,,,,,,,,,,,,
장안동,장안동,장안동>장안동,,,,,,,,,,,,
장안동,장안동,장안동>장안동,,,,,,,,,,,,
장안동,장안동,장안동>장안동,,,,,,,,,,,,
장안동,장안동,장안동>장안동,,,,,,,,,,,,
장안동,장안동,장안동>장안동,,,,,,,,,,,,
장안동,장안동,장안동>장안동,,,,,,,,,,,,
장안동,장안동,장안동>장안동,,,,,,,,,,,,
장안동,장안동,장안동>장안동,,,,,,,,,,,,
장안동,장안동,장안동>장안동,,,,,,,,,,,,
장안동,장안동,장안동>장안동,,,,,,,,,,,,
장안동,장안동,장안동>장안동,,,,,,,,,,,,
장안동,장안동,장안동>장안동,,,,,,,,,,,,
장안동,장안동,장안동>장안동,,,,,,,,,,,,
장안동,장안동,장안동>장안동,,,,,,,,,,,,
장안동,장안동,장안동>장안동,,,,,,,,,,,,
장안동,장안동,장안동>장안동,,,,,,,,,,,,
장안동,장안동,장안동>장안동,,,,,,,,,,,,
장안동,장안동,장안동>장안동,,,,,,,,,,,,
장안동,전농동,전농동>장안동,,,,,,,,,,,,
장안동,전농동,전농동>장안동,,,,,,,,,,,,
장안동,전농동,전농동>장안동,,,,,,,,,,,,
장안동,제기동,제기동>장안동,,,,,,,,,,,,
장안동,제기동,제기동>장안동,,,,,,,,,,,,
장안동,제기동,제기동>장안동,,,,,,,,,,,,
전농동,답십리동,답십리동>전농동,,,,,,,,,,,,
전농동,답십리동,답십리동>전농동,,,,,,,,,,,,
전농동,답십리동,답십리동>전농동,,,,,,,,,,,,
전농동,답십리동,답십리동>전농동,,,,,,,,,,,,
전농동,신설동,신설동>전농동,,,,,,,,,,,,
전농동,용두동,용두동>전농동,,,,,,,,,,,,
전농동,이문동,이문동>전농동,,,,,,,,,,,,
전농동,장안동,장안동>전농동,,,,,,,,,,,,
전농동,전농동,전농동>전농동,,,,,,,,,,,,
전농동,전농동,전농동>전농동,,,,,,,,,,,,
전농동,전농동,전농동>전농동,,,,,,,,,,,,
전농동,전농동,전농동>전농동,,,,,,,,,,,,
전농동,전농동,전농동>전농동,,,,,,,,,,,,
전농동,전농동,전농동>전농동,,,,,,,,,,,,
전농동,전농동,전농동>전농동,,,,,,,,,,,,
전농동,전농동,전농동>전농동,,,,,,,,,,,,
전농동,전농동,전농동>전농동,,,,,,,,,,,,
전농동,전농동,전농동>전농동,,,,,,,,,,,,
전농동,전농동,전농동>전농동,,,,,,,,,,,,
전농동,전농동,전농동>전농동,,,,,,,,,,,,
전농동,전농동,전농동>전농동,,,,,,,,,,,,
전농동,전농동,전농동>전농동,,,,,,,,,,,,
전농동,제기동,제기동>전농동,,,,,,,,,,,,
전농동,청량리동,청량리동>전농동,,,,,,,,,,,,
전농동,청량리동,청량리동>전농동,,,,,,,,,,,,
전농동,회기동,회기동>전농동,,,,,,,,,,,,
전농동,휘경동,휘경동>전농동,,,,,,,,,,,,
제기동,용두동,용두동>제기동,,,,,,,,,,,,
제기동,전농동,전농동>제기동,,,,,,,,,,,,
제기동,전농동,전농동>제기동,,,,,,,,,,,,
제기동,제기동,제기동>제기동,,,,,,,,,,,,
제기동,제기동,제기동>제기동,,,,,,,,,,,,
제기동,제기동,제기동>제기동,,,,,,,,,,,,
제기동,제기동,제기동>제기동,,,,,,,,,,,,
제기동,제기동,제기동>제기동,,,,,,,,,,,,
제기동,제기동,제기동>제기동,,,,,,,,,,,,
제기동,제기동,제기동>제기동,,,,,,,,,,,,
제기동,제기동,제기동>제기동,,,,,,,,,,,,
제기동,제기동,제기동>제기동,,,,,,,,,,,,
제기동,제기동,제기동>제기동,,,,,,,,,,,,
제기동,제기동,제기동>제기동,,,,,,,,,,,,
제기동,청량리동,청량리동>제기동,,,,,,,,,,,,
제기동,회기동,회기동>제기동,,,,,,,,,,,,
청량리동,용두동,용두동>청량리동,,,,,,,,,,,,
청량리동,이문동,이문동>청량리동,,,,,,,,,,,,
청량리동,전농동,전농동>청량리동,,,,,,,,,,,,
청량리동,전농동,전농동>청량리동,,,,,,,,,,,,
청량리동,제기동,제기동>청량리동,,,,,,,,,,,,
청량리동,제기동,제기동>청량리동,,,,,,,,,,,,
청량리동,제기동,제기동>청량리동,,,,,,,,,,,,
청량리동,제기동,제기동>청량리동,,,,,,,,,,,,
청량리동,제기동,제기동>청량리동,,,,,,,,,,,,
청량리동,제기동,제기동>청량리동,,,,,,,,,,,,
청량리동,제기동,제기동>청량리동,,,,,,,,,,,,
청량리동,제기동,제기동>청량리동,,,,,,,,,,,,
청량리동,제기동,제기동>청량리동,,,,,,,,,,,,
청량리동,제기동,제기동>청량리동,,,,,,,,,,,,
청량리동,제기동,제기동>청량리동,,,,,,,,,,,,
청량리동,청량리동,청량리동>청량리동,,,,,,,,,,,,
청량리동,청량리동,청량리동>청량리동,,,,,,,,,,,,
청량리동,청량리동,청량리동>청량리동,,,,,,,,,,,,
청량리동,청량리동,청량리동>청량리동,,,,,,,,,,,,
청량리동,청량리동,청량리동>청량리동,,,,,,,,,,,,
청량리동,청량리동,청량리동>청량리동,,,,,,,,,,,,
청량리동,청량리동,청량리동>청량리동,,,,,,,,,,,,
청량리동,청량리동,청량리동>청량리동,,,,,,,,,,,,
청량리동,청량리동,청량리동>청량리동,,,,,,,,,,,,
청량리동,청량리동,청량리동>청량리동,,,,,,,,,,,,
청량리동,청량리동,청량리동>청량리동,,,,,,,,,,,,
청량리동,청량리동,청량리동>청량리동,,,,,,,,,,,,
청량리동,청량리동,청량리동>청량리동,,,,,,,,,,,,
청량리동,청량리동,청량리동>청량리동,,,,,,,,,,,,
청량리동,청량리동,청량리동>청량리동,,,,,,,,,,,,
청량리동,청량리동,청량리동>청량리동,,,,,,,,,,,,
청량리동,청량리동,청량리동>청량리동,,,,,,,,,,,,
청량리동,청량리동,청량리동>청량리동,,,,,,,,,,,,
청량리동,청량리동,청량리동>청량리동,,,,,,,,,,,,
회기동,회기동,회기동>회기동,,,,,,,,,,,,
회기동,휘경동,휘경동>회기동,,,,,,,,,,,,
휘경동,회기동,회기동>휘경동,,,,,,,,,,,,
휘경동,휘경동,휘경동>휘경동,,,,,,,,,,,,
휘경동,휘경동,휘경동>휘경동,,,,,,,,,,,,
휘경동,휘경동,휘경동>휘경동,,,,,,,,,,,,
휘경동,휘경동,휘경동>휘경동,,,,,,,,,,,,
휘경동,휘경동,휘경동>휘경동,,,,,,,,,,,,
